,Unnamed: 0,objid,x,y,ra,dec,flux_z,original_image
17847,17847,J033230.60-274908.3,7689.003000000001,2431.416,53.12748570000001,-27.818976399999997,0.00399813,h_s_sect23_v2.0_drz_img.fits
17848,17848,J033230.60-274721.4,7688.621999999999,5995.328,53.127493799999996,-27.7892598,0.00383012,h_s_sect23_v2.0_drz_img.fits
17851,17851,J033230.60-274922.8,7688.335999999999,1946.776,53.1274953,-27.823001399999995,0.0033217,h_s_sect23_v2.0_drz_img.fits
17852,17852,J033230.60-274705.9,7688.147,6509.232,53.1275031,-27.784984700000003,0.0038651,h_s_sect23_v2.0_drz_img.fits
17862,17862,J033230.61-274745.7,7683.0830000000005,5182.218,53.1275507,-27.796043100000006,0.00312944,h_s_sect23_v2.0_drz_img.fits
17863,17863,J033230.62-274832.1,7681.4890000000005,3636.7090000000003,53.12756070000001,-27.808918100000003,0.00438922,h_s_sect23_v2.0_drz_img.fits
17864,17864,J033230.62-274814.5,7681.0419999999995,4224.947,53.127551000000004,-27.804018100000004,0.00391717,h_s_sect23_v2.0_drz_img.fits
17870,17870,J033230.62-274940.6,7677.999,1352.4160000000002,53.127599200000006,-27.827951399999996,0.00602856,h_s_sect23_v2.0_drz_img.fits
17875,17875,J033230.63-274720.8,7674.48,6012.968000000001,53.1276351,-27.789118,0.00290028,h_s_sect23_v2.0_drz_img.fits
17876,17876,J033230.63-274621.0,7674.326999999999,8008.005,53.127634400000005,-27.772493,0.00818297,h_s_sect23_v2.0_drz_img.fits
17878,17878,J033230.63-274759.9,7673.141,4710.428,53.127663899999995,-27.7999847,0.00343351,h_s_sect23_v2.0_drz_img.fits
17892,17892,J033230.65-274933.7,7664.9580000000005,1584.461,53.1277216,-27.826026399999996,0.0166863,h_s_sect23_v2.0_drz_img.fits
17899,17899,J033230.67-274745.6,7659.316,5188.582,53.12777679999999,-27.7959847,0.00288429,h_s_sect23_v2.0_drz_img.fits
17901,17901,J033230.67-274807.3,7659.241999999999,4462.319,53.127777,-27.802043100000002,0.00307391,h_s_sect23_v2.0_drz_img.fits
17903,17903,J033230.67-274742.3,7657.5830000000005,5296.846,53.127739,-27.795101399999997,0.011623999999999999,h_s_sect23_v2.0_drz_img.fits
17905,17905,J033230.67-274858.6,7656.539000000001,2754.58,53.12780600000001,-27.816268100000006,0.00328847,h_s_sect23_v2.0_drz_img.fits
