#CRTS ID	RA (J2000)	Dec (J2000)	UT Date	Mag	CSS images	SDSS	Others	Followed	Last	LC	FC	Classification
CSS081007:035727+175657	59.36046	17.94917	20081007.41	19.69	810071180214117212	yes	17212	yes	2016-10-29	17212	no	Ast?
CSS101210:035746-100338	59.44160	-10.06063	20101210.29	19.09	1012100090214119081	no	11908	no	2016-11-08	11908	yes	AGN?
CSS091109:035759+102943	59.49444	10.49524	20091109.40	17.20	911091090214133107	no	33107	no	2016-11-08	33107	yes	CV mag >20,5 XMM_J035758,6+102938
CSS151118:035816+214119	59.56533	21.68851	20151118.26	16.77	1511181210214142399	no	14239	no	2016-10-29	14239	yes	CV mag >21
CSS151204:035824+395528	59.59954	39.92433	20151204.30	17.77	1512041400174114620	no	11462	no	2016-11-06	11462	yes	CV mag >21,5
CSS101114:035827+062919	59.61297	6.48875	20101114.38	18.34	1011141070224114414	no	11441	yes	2016-11-08	11441	yes	Blazar mag 20,5
CSS111217:035831+183251	59.62879	18.54743	20111217.23	18.20	1112171180214124889	yes	12488	no	2016-10-29	12488	yes	CV mag >20
CSS101201:035859-201430	59.74713	-20.24172	20101201.32	18.23	1012010210214132696	no	13269	no	2016-10-11	13269	yes	CV mag 21
CSS131202:035949+170322	59.95364	17.05601	20131202.21	16.31	1312021180214101950	yes	10195	yes	2016-10-29	10195	yes	Flare SDSS mag 20,5
CSS071204:035956+233018	59.98477	23.50505	20071204.21	18.62	712041230204120774	no	20774	no	2016-10-21	20774	no	SN mag >22 Faint PQ source
CSS090927:040106+183319	60.27601	18.55535	20090927.39	18.75	909271180214129933	yes	29933	no	2016-10-29	29933	yes	AGN?
CSS111224:040109+100103	60.28546	10.01744	20111224.16	19.71	1112241090224127804	no	12780	yes	2016-11-08	12780	yes	AGN? mag >21
CSS110204:040109+100102	60.28571	10.01735	20110204.17	19.59	1102041090224124459	no	12445	yes	2016-11-08	12445	yes	AGN?
CSS131104:040109-243046	60.28802	-24.51285	20131104.34	18.96	1311040230204114690	no	11469	yes	2016-10-11	11469	yes	AGN? mag 20,5
CSS090317:040117+283942	60.32258	28.66174	20090317.12	15.41	903171290194110701	no	10701	yes	2016-11-06	10701	no	CV mag >21,5 no CSS or
CSS090922:040120+041335	60.33283	4.22630	20090922.45	17.99	909221040224123096	yes	23096	yes	2016-11-09	23096	yes	Blazar CGRaBS_J0401+0413 z=0,3
CSS130901:040137+184325	60.40380	18.72357	20130901.44	14.31	1309011180214134165	yes	13416	no	2016-10-29	13416	yes	HPM LHS_185
CSS160906:040137+184321	60.40407	18.72263	20160906.48	14.78	1609061180214126235	yes	12623	no	2016-10-29	12623	yes	HPM G7-17
CSS081024:040141+080008	60.42056	8.00216	20081024.43	15.41	810241070224132530	no	32530	no	2016-11-08	32530	no	CV mag 18,7
CSS141124:040153-203510	60.46952	-20.58602	20141124.24	17.26	1411240210214124838	no	12483	no	2016-10-11	12483	yes	Blazar mag 20,5
CSS090920:040155-091855	60.47940	-9.31537	20090920.38	18.72	909200090224138977	no	38977	yes	2016-11-07	38977	yes	AGN/Var
CSS121211:040157+035721	60.48894	3.95574	20121211.23	18.85	1212111040224118793	no	11879	no	2016-11-09	11879	yes	SN (spec) mag 19,7
CSS101010:040230+404242	60.62432	40.71161	20101010.35	13.31	1010101400174141876	no	14187	yes	2016-11-06	14187	yes	YSO IRAS_03591+4034
CSS131223:040232+282246	60.63140	28.37949	20131223.14	16.91	1312231290204104508	no	10450	no	2016-11-06	10450	yes	Unknown mag >21
